TOPIK;SOAL;OPSI_A;OPSI_B;OPSI_C;OPSI_D;JAWABAN
PECAHAN;Desimal 3/4 =;0.25;0.50;0.75;1.25;C
PECAHAN;2/5 ... 3/5 =;<;>;=;!=;A
PECAHAN;1/2 ... 0,5 =;<;>;=;!=;C
GEOMETRI;4 sisi, 2 pasang sejajar =;trapesium;layang-layang;jajargenjang;segitiga;C
GEOMETRI;Garis siku-siku =;sejajar;berpotongan;tegak lurus;miring;C
GEOMETRI;Contoh kubus =;bola;buku;kaleng;dadu;D
PENGUKURAN;Satuan suhu =;meter;kilogram;celcius;liter;C
PENGUKURAN;1 liter = ... ml;10;100;1000;0.001;C
PENGUKURAN;Keliling 7x3 cm =;10;20;21;24;B
PENGUKURAN;Luas alas 8 tinggi 5 =;13;20;40;80;B
DATA;Perubahan waktu =;batang;lingkaran;garis;gambar;C
DATA;Rata-rata 5 siswa = 8, total =;13;30;40;45;C
DATA;Median 5 7 6 8 9 =;5;6;7;8;C
CAMPURAN;25 - (10 + 5) =;5;10;20;30;B
CAMPURAN;7 x 3 - 12 : 4 =;18;21;15;9;A
CAMPURAN;(15 : 3) + (2 x 6) =;17;19;27;30;A
WAKTU;14.45 dibaca =;dua empat lima;setengah tiga;kurang lima belas tiga;empat belas empat lima;C
WAKTU;1 abad = ... tahun;10;50;100;1000;C
WAKTU;90 menit =;1 jam 15 menit;1 jam 30 menit;1 jam 45 menit;2 jam 0 menit;B
UANG;Empat 5000-an =;1;2;3;4;B
UANG;Uang 50000 - 37500 =;10500;12500;17500;87500;B
BILANGAN;Faktor 12 =;1 2 3 4 5 6;1 2 3 4 6 12;2 4 6 8 10 12;3 6 9 12 15;B
